"統計名：","出入国管理統計 入国審査・在留資格審査・退去強制手続等"
"表番号："
"表題：","国籍・地域別　地方出入国在留管理局管内別　永住許可人員"
"実施年月：","2024年","-"
"市区町村時点（年月日）：","-"

"***","集計に必要なデータがないもの"
"0","集計した結果がゼロのもの"

"","","","","","","","","","/地方入国管理局 コード","50000","50010","50090","50170","50320","50430","50550","50640","50690"
"","","","","","","","","","/地方入国管理局 補助コード","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","国籍・地域 コード","国籍・地域 補助コード","国籍・地域","/地方入国管理局","総数","札幌出入国在留管理局管内","仙台出入国在留管理局管内","東京出入国在留管理局管内","名古屋出入国在留管理局管内","大阪出入国在留管理局管内","広島出入国在留管理局管内","高松出入国在留管理局管内","福岡出入国在留管理局管内"
"260","","永住許可人員【人】","2024000000","","2024年","50600","","フランス","","177","3","3","135","9","18","3","1","5"
"260","","永住許可人員【人】","2024000000","","2024年","50610","","ドイツ","","97","2","2","61","7","15","1","1","8"
"260","","永住許可人員【人】","2024000000","","2024年","50620","","ギリシャ","","5","0","0","0","1","3","0","0","1"
"260","","永住許可人員【人】","2024000000","","2024年","50630","","ハンガリー","","12","1","0","8","0","2","0","0","1"
"260","","永住許可人員【人】","2024000000","","2024年","50650","","アイルランド","","15","1","0","5","2","5","0","2","0"
"260","","永住許可人員【人】","2024000000","","2024年","50660","","イタリア","","92","2","2","64","4","14","1","3","2"
"260","","永住許可人員【人】","2024000000","","2024年","50670","","キルギス","","8","0","0","3","0","5","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50680","","カザフスタン","","9","0","0","6","1","1","0","0","1"
"260","","永住許可人員【人】","2024000000","","2024年","50710","","ラトビア","","2","0","0","2","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50720","","リトアニア","","8","0","0","3","2","3","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50750","","モルドバ","","5","0","0","1","4","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50760","","北マケドニア","","2","0","0","2","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50770","","オランダ","","23","0","0","13","2","6","0","0","2"
"260","","永住許可人員【人】","2024000000","","2024年","50780","","ノルウェー","","1","0","0","1","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50790","","ポーランド","","19","1","1","11","3","2","0","1","0"
"260","","永住許可人員【人】","2024000000","","2024年","50800","","ポルトガル","","11","0","1","7","0","2","0","0","1"
"260","","永住許可人員【人】","2024000000","","2024年","50810","","ルーマニア","","14","0","0","4","5","2","2","0","1"
"260","","永住許可人員【人】","2024000000","","2024年","50820","","ロシア","","160","4","3","93","32","24","2","0","2"
"260","","永住許可人員【人】","2024000000","","2024年","50840","","スペイン","","56","1","0","35","3","11","1","2","3"
"260","","永住許可人員【人】","2024000000","","2024年","50850","","スウェーデン","","31","0","1","22","1","3","2","0","2"
"260","","永住許可人員【人】","2024000000","","2024年","50860","","スイス","","12","0","1","5","0","2","1","0","3"
"260","","永住許可人員【人】","2024000000","","2024年","50890","","英国","","181","4","4","101","19","28","5","3","17"
"260","","永住許可人員【人】","2024000000","","2024年","50900","","英国〔香港〕","","37","2","0","26","1","4","0","0","4"
"260","","永住許可人員【人】","2024000000","","2024年","50910","","ウクライナ","","33","0","1","15","7","4","3","0","3"
"260","","永住許可人員【人】","2024000000","","2024年","50920","","ウズベキスタン","","63","1","0","46","9","2","5","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50950","","アゼルバイジャン","","3","0","0","3","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","50960","","アンドラ","","1","0","0","1","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51000","","スロバキア","","6","0","0","4","0","2","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51040","","セルビア","","4","0","0","1","2","1","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51070","","アルジェリア","","3","0","0","3","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51100","","カメルーン","","14","0","0","5","2","7","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51130","","コンゴ共和国","","1","0","0","0","0","1","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51140","","コンゴ民主共和国","","4","0","0","2","0","2","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51170","","ベナン","","1","0","0","1","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51190","","エチオピア","","5","1","0","4","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51220","","ガボン","","1","0","0","0","0","1","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51230","","ガーナ","","52","0","0","39","5","6","1","0","1"
"260","","永住許可人員【人】","2024000000","","2024年","51240","","ギニア","","3","0","0","2","0","1","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51250","","ガンビア","","1","0","0","0","0","1","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51270","","コートジボワール","","6","0","0","6","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51280","","ケニア","","9","0","0","9","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51300","","リビア","","3","0","0","0","1","0","0","2","0"
"260","","永住許可人員【人】","2024000000","","2024年","51320","","マダガスカル","","3","0","0","1","0","2","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51330","","マリ","","5","0","0","5","0","0","0","0","0"
"260","","永住許可人員【人】","2024000000","","2024年","51340","","モーリタニア","","1","0","0","0","1","0","0","0","0"
