"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","地方入国管理局・支局・出張所 コード","地方入国管理局・支局・出張所 補助コード","地方入国管理局・支局・出張所","/在留資格審査の受理・処理","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50020","","札幌出入国在留管理局","","106","1","105","106","106","0","0","***","11,556","436","11,120","10,690","10,589","9","92","***","9,634","587","9,047","8,647","8,469","13","165","***","2,311","17","2,294","2,297","2,284","5","8","***","136","0","136","136","136","0","0","***","441","134","307","331","216","97","18","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50030","","函館港出張所","","4","0","4","4","4","0","0","***","297","34","263","281","278","0","3","***","213","3","210","197","192","0","5","***","90","0","90","90","90","0","0","***","3","0","3","3","3","0","0","***","15","4","11","14","14","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50050","","釧路港出張所","","14","0","14","14","14","0","0","***","1,084","52","1,032","1,006","998","0","8","***","1,115","54","1,061","1,016","989","0","27","***","86","0","86","86","86","0","0","***","9","0","9","9","9","0","0","***","40","5","35","35","28","5","2","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50060","","稚内港出張所","","0","0","0","0","0","0","0","***","85","0","85","82","82","0","0","***","109","6","103","91","84","0","7","***","33","0","33","33","33","0","0","***","2","0","2","2","2","0","0","***","1","0","1","1","1","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50070","","千歳苫小牧出張所","","8","0","8","8","8","0","0","***","853","60","793","739","731","0","8","***","73","4","69","63","60","0","3","***","121","0","121","121","119","0","2","***","3","0","3","3","3","0","0","***","26","7","19","17","16","1","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50080","","旭川出張所","","1","0","1","1","1","0","0","***","772","36","736","737","733","0","4","***","603","10","593","535","511","5","19","***","222","0","222","222","222","0","0","***","29","0","29","29","29","0","0","***","43","11","32","33","19","14","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50090","","仙台出入国在留管理局管内","","205","2","203","200","194","0","6","***","23,043","1,483","21,560","21,550","21,194","14","342","***","16,358","822","15,536","14,947","14,385","91","471","***","4,867","29","4,838","4,838","4,808","6","24","***","363","0","363","363","362","1","0","***","888","302","586","597","346","225","26","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50100","","仙台出入国在留管理局","","106","0","106","102","100","0","2","***","16,273","1,124","15,149","15,150","14,952","11","187","***","13,532","668","12,864","12,272","11,828","78","366","***","3,664","26","3,638","3,639","3,615","6","18","***","183","0","183","183","182","1","0","***","630","221","409","423","232","183","8","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50110","","青森出張所","","19","0","19","19","19","0","0","***","1,104","47","1,057","1,069","1,058","0","11","***","554","28","526","528","504","1","23","***","179","0","179","179","179","0","0","***","22","0","22","22","22","0","0","***","41","12","29","27","13","8","6","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50120","","盛岡出張所","","15","1","14","15","15","0","0","***","948","32","916","884","880","0","4","***","536","21","515","514","507","0","7","***","272","0","272","270","265","0","5","***","30","0","30","30","30","0","0","***","54","18","36","36","24","11","1","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50130","","仙台空港出張所","","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***","7","0","7","7","7","0","0","***","1","0","1","1","1","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50140","","秋田出張所","","10","1","9","10","10","0","0","***","550","31","519","531","525","0","6","***","174","5","169","170","168","0","2","***","133","0","133","133","133","0","0","***","22","0","22","22","22","0","0","***","19","8","11","13","9","3","1","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50150","","酒田港出張所","","9","0","9","9","9","0","0","***","299","7","292","295","295","0","0","***","105","11","94","102","92","1","9","***","41","0","41","41","41","0","0","***","18","0","18","18","18","0","0","***","21","4","17","12","10","1","1","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50160","","郡山出張所","","46","0","46","45","41","0","4","***","3,869","242","3,627","3,621","3,484","3","134","***","1,457","89","1,368","1,361","1,286","11","64","***","571","3","568","569","568","0","1","***","87","0","87","87","87","0","0","***","123","39","84","86","58","19","9","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50170","","東京出入国在留管理局管内","","9,082","186","8,896","8,879","8,573","1","305","***","505,614","31,323","474,291","476,675","466,259","1,227","9,189","***","192,093","12,558","179,535","178,086","165,514","3,028","9,544","***","155,609","744","154,865","154,242","153,392","398","452","***","17,155","4","17,151","17,147","17,142","4","1","***","49,880","21,834","28,046","33,336","16,459","15,626","1,251","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50180","","東京出入国在留管理局","","3,629","132","3,497","3,474","3,447","0","27","***","291,740","22,596","269,144","272,898","265,543","1,019","6,336","***","134,772","10,238","124,534","124,252","114,143","2,388","7,721","***","75,154","551","74,603","74,031","73,344","361","326","***","8,068","0","8,068","8,065","8,061","4","0","***","27,040","12,468","14,572","18,094","8,908","8,727","459","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50190","","成田空港支局","","11","0","11","11","11","0","0","***","839","2","837","836","836","0","0","***","763","0","763","763","763","0","0","***","27,004","0","27,004","27,004","27,004","0","0","***","756","0","756","756","756","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50200","","羽田空港支局","","2","0","2","2","2","0","0","***","258","1","257","257","257","0","0","***","101","0","101","101","101","0","0","***","2,370","0","2,370","2,370","2,370","0","0","***","196","0","196","196","196","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50210","","横浜支局","","791","4","787","780","774","0","6","***","33,391","1,248","32,143","31,957","31,387","49","521","***","12,166","556","11,610","11,225","10,732","130","363","***","6,807","48","6,759","6,747","6,697","11","39","***","1,617","3","1,614","1,613","1,613","0","0","***","4,868","1,682","3,186","3,377","1,669","1,523","185","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50220","","水戸出張所","","351","4","347","348","301","0","47","***","15,938","709","15,229","15,073","14,847","15","211","***","6,229","282","5,947","5,731","5,565","31","135","***","2,322","4","2,318","2,316","2,309","0","7","***","506","0","506","506","506","0","0","***","1,166","502","664","772","381","370","21","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50230","","宇都宮出張所","","285","5","280","283","255","0","28","***","14,190","818","13,372","13,041","12,727","7","307","***","2,644","116","2,528","2,442","2,298","31","113","***","2,463","2","2,461","2,461","2,460","0","1","***","374","0","374","374","374","0","0","***","962","339","623","640","292","311","37","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50240","","高崎出張所","","561","11","550","549","477","0","72","***","20,703","858","19,845","19,790","19,497","11","282","***","4,926","218","4,708","4,606","4,438","29","139","***","2,984","0","2,984","2,984","2,984","0","0","***","593","0","593","593","593","0","0","***","1,758","746","1,012","1,127","492","577","58","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50250","","さいたま出張所","","1,297","5","1,292","1,289","1,289","0","0","***","42,000","1,483","40,517","40,173","39,776","33","364","***","9,201","214","8,987","8,878","8,442","136","300","***","12,388","28","12,360","12,361","12,355","1","5","***","1,723","0","1,723","1,723","1,722","0","1","***","4,569","1,871","2,698","3,239","1,506","1,549","184","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50260","","千葉出張所","","947","16","931","939","839","0","100","***","32,794","1,218","31,576","31,353","30,945","43","365","***","6,492","206","6,286","6,222","5,926","83","213","***","8,610","4","8,606","8,602","8,596","0","6","***","1,145","0","1,145","1,145","1,145","0","0","***","2,822","1,123","1,699","1,662","918","635","109","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50270","","立川出張所","","392","0","392","391","391","0","0","***","19,603","784","18,819","18,719","18,449","10","260","***","4,824","267","4,557","4,542","4,342","59","141","***","8,144","94","8,050","8,016","7,960","9","47","***","701","0","701","701","701","0","0","***","1,964","771","1,193","1,238","637","546","55","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50280","","新潟出張所","","51","1","50","51","45","1","5","***","3,578","160","3,418","3,411","3,325","10","76","***","1,568","83","1,485","1,433","1,329","11","93","***","1,187","1","1,186","1,184","1,178","2","4","***","82","0","82","82","82","0","0","***","282","131","151","185","116","62","7","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50290","","甲府出張所","","98","4","94","98","97","0","1","***","4,180","178","4,002","4,007","3,941","5","61","***","1,016","42","974","972","928","14","30","***","839","0","839","839","839","0","0","***","181","0","181","181","181","0","0","***","437","174","263","311","131","175","5","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50300","","長野出張所","","111","3","108","111","95","0","16","***","9,467","407","9,060","8,998","8,896","6","96","***","3,995","142","3,853","3,751","3,613","21","117","***","1,151","2","1,149","1,148","1,145","1","2","***","287","1","286","286","286","0","0","***","1,293","717","576","671","310","343","18","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50310","","川崎出張所","","556","1","555","553","550","0","3","***","16,933","861","16,072","16,162","15,833","19","310","***","3,396","194","3,202","3,168","2,894","95","179","***","4,186","10","4,176","4,179","4,151","13","15","***","926","0","926","926","926","0","0","***","2,719","1,310","1,409","2,020","1,099","808","113","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50320","","名古屋出入国在留管理局管内","","3,626","4","3,622","3,611","3,607","0","4","***","172,560","10,214","162,346","163,248","161,101","345","1,802","***","86,397","4,810","81,587","79,662","76,446","1,105","2,111","***","21,772","48","21,724","21,748","21,667","50","31","***","5,329","0","5,329","5,329","5,324","3","2","***","17,317","7,025","10,292","13,521","5,569","7,222","730","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50330","","名古屋出入国在留管理局","","1,937","3","1,934","1,923","1,920","0","3","***","113,254","6,962","106,292","106,693","105,128","281","1,284","***","65,921","3,671","62,250","60,551","58,048","944","1,559","***","14,169","24","14,145","14,153","14,083","49","21","***","2,885","0","2,885","2,885","2,883","1","1","***","11,885","5,331","6,554","9,258","3,508","5,257","493","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50340","","中部空港支局","","0","0","0","0","0","0","0","***","57","0","57","57","57","0","0","***","7","0","7","7","7","0","0","***","285","8","277","285","285","0","0","***","56","0","56","56","56","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50350","","富山出張所","","102","1","101","102","102","0","0","***","6,497","397","6,100","6,294","6,227","11","56","***","3,408","140","3,268","3,173","3,064","17","92","***","579","1","578","577","576","0","1","***","137","0","137","137","137","0","0","***","521","196","325","424","244","166","14","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50360","","金沢出張所","","56","0","56","56","56","0","0","***","3,583","161","3,422","3,440","3,381","1","58","***","2,522","115","2,407","2,370","2,307","10","53","***","764","0","764","764","763","1","0","***","99","0","99","99","99","0","0","***","296","90","206","227","107","118","2","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50370","","福井出張所","","56","0","56","56","56","0","0","***","3,151","142","3,009","3,093","3,060","5","28","***","2,359","108","2,251","2,220","2,167","8","45","***","298","0","298","298","297","0","1","***","142","0","142","142","142","0","0","***","282","90","192","245","135","101","9","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50380","","岐阜出張所","","294","0","294","293","293","0","0","***","9,491","451","9,040","8,967","8,885","3","79","***","3,340","232","3,108","3,092","3,011","25","56","***","1,222","7","1,215","1,222","1,222","0","0","***","320","0","320","320","320","0","0","***","776","225","551","519","250","244","25","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50390","","静岡出張所","","272","0","272","272","271","0","1","***","12,836","823","12,013","11,966","11,854","9","103","***","3,964","246","3,718","3,702","3,499","62","141","***","2,508","0","2,508","2,507","2,504","0","3","***","388","0","388","388","388","0","0","***","1,105","352","753","900","385","491","24","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50400","","浜松出張所","","407","0","407","407","407","0","0","***","11,153","766","10,387","10,602","10,471","10","121","***","2,391","166","2,225","2,243","2,175","19","49","***","1,001","8","993","997","994","0","3","***","633","0","633","633","633","0","0","***","1,285","395","890","1,016","475","440","101","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50410","","豊橋港出張所","","227","0","227","227","227","0","0","***","6,473","274","6,199","6,276","6,247","10","19","***","964","59","905","894","865","2","27","***","287","0","287","286","286","0","0","***","332","0","332","332","332","0","0","***","457","115","342","362","183","168","11","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50420","","四日市港出張所","","275","0","275","275","275","0","0","***","6,065","238","5,827","5,860","5,791","15","54","***","1,521","73","1,448","1,410","1,303","18","89","***","659","0","659","659","657","0","2","***","337","0","337","337","334","2","1","***","710","231","479","570","282","237","51","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50430","","大阪出入国在留管理局管内","","2,316","97","2,219","2,220","1,795","0","425","***","111,653","3,887","107,766","106,345","105,268","224","853","***","54,471","2,925","51,546","49,992","48,040","566","1,386","***","41,262","124","41,138","41,007","40,780","68","159","***","3,948","0","3,948","3,948","3,947","1","0","***","8,832","2,339","6,493","5,817","4,469","1,131","217","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50440","","大阪出入国在留管理局","","1,437","76","1,361","1,361","1,067","0","294","***","69,737","2,402","67,335","66,197","65,458","176","563","***","38,402","2,243","36,159","35,116","33,651","422","1,043","***","20,832","96","20,736","20,602","20,449","42","111","***","1,768","0","1,768","1,768","1,767","1","0","***","6,026","1,787","4,239","3,892","3,133","634","125","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50450","","関西空港支局","","4","0","4","4","4","0","0","***","258","0","258","258","257","0","1","***","92","0","92","92","92","0","0","***","6,526","0","6,526","6,526","6,526","0","0","***","705","0","705","705","705","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50460","","神戸支局","","406","13","393","393","340","0","53","***","19,437","663","18,774","18,491","18,325","28","138","***","9,868","420","9,448","9,053","8,766","93","194","***","6,415","23","6,392","6,398","6,334","24","40","***","688","0","688","688","688","0","0","***","1,247","255","992","776","413","317","46","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50470","","大津出張所","","220","4","216","216","169","0","47","***","6,244","270","5,974","5,933","5,904","7","22","***","1,540","75","1,465","1,434","1,380","3","51","***","933","1","932","932","932","0","0","***","288","0","288","288","288","0","0","***","558","109","449","422","378","28","16","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50480","","京都出張所","","137","0","137","137","135","0","2","***","10,724","329","10,395","10,424","10,315","11","98","***","2,767","134","2,633","2,633","2,518","35","80","***","5,601","2","5,599","5,595","5,587","2","6","***","289","0","289","289","289","0","0","***","580","103","477","444","354","79","11","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50490","","舞鶴港出張所","","11","0","11","11","10","0","1","***","559","39","520","539","526","1","12","***","215","3","212","203","196","4","3","***","35","0","35","35","34","0","1","***","9","0","9","9","9","0","0","***","55","9","46","39","24","14","1","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50520","","奈良出張所","","29","3","26","29","21","0","8","***","1,555","58","1,497","1,485","1,475","0","10","***","485","10","475","452","443","1","8","***","458","2","456","457","456","0","1","***","88","0","88","88","88","0","0","***","165","30","135","94","73","12","9","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50530","","和歌山出張所","","14","1","13","14","10","0","4","***","1,088","26","1,062","1,057","1,051","1","5","***","329","7","322","304","298","4","2","***","223","0","223","223","223","0","0","***","29","0","29","29","29","0","0","***","76","15","61","52","40","9","3","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50540","","姫路港出張所","","58","0","58","55","39","0","16","***","2,051","100","1,951","1,961","1,957","0","4","***","773","33","740","705","696","4","5","***","239","0","239","239","239","0","0","***","84","0","84","84","84","0","0","***","125","31","94","98","54","38","6","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50550","","広島出入国在留管理局管内","","460","4","456","460","457","0","3","***","35,959","1,410","34,549","33,909","33,698","11","200","***","28,902","1,293","27,609","26,689","26,150","73","466","***","6,627","26","6,601","6,600","6,584","4","12","***","803","0","803","803","803","0","0","***","1,864","297","1,567","1,544","1,183","308","53","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50560","","広島出入国在留管理局","","184","1","183","184","184","0","0","***","19,351","631","18,720","18,048","17,950","5","93","***","19,602","918","18,684","18,012","17,722","34","256","***","1,855","7","1,848","1,847","1,839","1","7","***","316","0","316","316","316","0","0","***","965","167","798","826","622","181","23","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50570","","境港出張所","","11","0","11","11","11","0","0","***","644","29","615","617","614","0","3","***","210","1","209","202","195","2","5","***","172","1","171","172","169","1","2","***","31","0","31","31","31","0","0","***","45","9","36","40","24","16","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50580","","松江出張所","","73","1","72","73","72","0","1","***","1,810","79","1,731","1,750","1,740","0","10","***","185","10","175","167","162","0","5","***","147","0","147","147","147","0","0","***","130","0","130","130","130","0","0","***","105","10","95","71","58","13","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50590","","岡山出張所","","96","1","95","96","95","0","1","***","6,548","464","6,084","6,197","6,129","2","66","***","3,150","169","2,981","2,912","2,818","13","81","***","2,343","15","2,328","2,325","2,324","1","0","***","197","0","197","197","197","0","0","***","412","37","375","325","268","44","13","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50600","","福山出張所","","62","0","62","62","62","0","0","***","5,073","122","4,951","4,878","4,870","1","7","***","4,377","161","4,216","4,102","4,024","9","69","***","1,221","1","1,220","1,220","1,217","0","3","***","73","0","73","73","73","0","0","***","225","39","186","189","140","37","12","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50610","","広島空港出張所","","0","0","0","0","0","0","0","***","3","0","3","3","3","0","0","***","0","0","0","0","0","0","0","***","4","0","4","4","4","0","0","***","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50620","","下関出張所","","10","0","10","10","10","0","0","***","1,081","40","1,041","1,044","1,029","1","14","***","842","32","810","798","756","2","40","***","297","2","295","297","296","1","0","***","30","0","30","30","30","0","0","***","64","20","44","59","46","8","5","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50630","","周南出張所","","24","1","23","24","23","0","1","***","1,449","45","1,404","1,372","1,363","2","7","***","536","2","534","496","473","13","10","***","588","0","588","588","588","0","0","***","26","0","26","26","26","0","0","***","48","15","33","34","25","9","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50640","","高松出入国在留管理局管内","","121","5","116","120","111","0","9","***","13,826","600","13,226","12,969","12,858","19","92","***","14,450","796","13,654","13,095","12,766","12","317","***","1,204","3","1,201","1,197","1,183","7","7","***","146","0","146","146","146","0","0","***","478","128","350","398","240","125","33","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50650","","高松出入国在留管理局","","61","4","57","60","51","0","9","***","7,694","412","7,282","7,102","7,045","8","49","***","8,730","461","8,269","7,900","7,690","8","202","***","575","3","572","569","562","2","5","***","65","0","65","65","65","0","0","***","262","69","193","216","128","62","26","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50660","","小松島港出張所","","35","1","34","35","35","0","0","***","1,073","32","1,041","1,033","1,026","0","7","***","701","24","677","658","642","2","14","***","285","0","285","285","284","1","0","***","25","0","25","25","25","0","0","***","76","21","55","59","38","17","4","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50670","","松山出張所","","18","0","18","18","18","0","0","***","3,985","99","3,886","3,793","3,752","9","32","***","4,277","263","4,014","3,865","3,781","0","84","***","219","0","219","218","212","4","2","***","41","0","41","41","41","0","0","***","98","28","70","87","52","33","2","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50680","","高知出張所","","7","0","7","7","7","0","0","***","1,074","57","1,017","1,041","1,035","2","4","***","742","48","694","672","653","2","17","***","125","0","125","125","125","0","0","***","15","0","15","15","15","0","0","***","42","10","32","36","22","13","1","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50690","","福岡出入国在留管理局管内","","868","7","861","856","850","3","3","***","64,517","2,727","61,790","60,946","59,627","150","1,169","***","44,319","1,927","42,392","40,441","38,809","526","1,106","***","20,378","18","20,360","20,339","20,263","21","55","***","833","1","832","832","832","0","0","***","2,688","724","1,964","1,926","1,187","629","110","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50700","","福岡出入国在留管理局","","387","1","386","386","385","0","1","***","38,072","1,671","36,401","35,563","34,839","94","630","***","29,885","1,423","28,462","27,069","26,010","364","695","***","11,541","10","11,531","11,516","11,475","7","34","***","426","1","425","425","425","0","0","***","1,466","480","986","982","570","368","44","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50710","","那覇支局","","85","0","85","83","82","1","0","***","5,778","263","5,515","5,534","5,348","12","174","***","2,468","81","2,387","2,255","2,137","56","62","***","2,354","3","2,351","2,353","2,347","2","4","***","62","0","62","62","62","0","0","***","216","39","177","143","99","27","17","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50720","","北九州出張所","","58","0","58","58","58","0","0","***","3,841","181","3,660","3,735","3,530","30","175","***","1,706","81","1,625","1,611","1,489","55","67","***","1,561","0","1,561","1,557","1,546","2","9","***","44","0","44","44","44","0","0","***","190","47","143","146","106","37","3","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50730","","博多港出張所","","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50740","","福岡空港出張所","","0","0","0","0","0","0","0","***","16","0","16","16","16","0","0","***","6","0","6","6","6","0","0","***","766","0","766","766","766","0","0","***","24","0","24","24","24","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50750","","佐賀出張所","","26","0","26","26","26","0","0","***","1,289","88","1,201","1,207","1,194","2","11","***","329","10","319","294","272","13","9","***","282","0","282","281","278","3","0","***","25","0","25","25","25","0","0","***","82","18","64","63","43","18","2","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50760","","長崎出張所","","35","0","35","33","33","0","0","***","2,120","82","2,038","2,021","2,000","0","21","***","957","21","936","876","838","5","33","***","900","4","896","899","896","0","3","***","15","0","15","15","15","0","0","***","115","29","86","92","61","24","7","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50770","","対馬出張所","","0","0","0","0","0","0","0","***","61","1","60","60","58","1","1","***","13","0","13","10","10","0","0","***","6","0","6","6","5","1","0","***","0","0","0","0","0","0","0","***","2","1","1","1","1","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50780","","熊本出張所","","49","0","49","48","48","0","0","***","3,862","117","3,745","3,674","3,621","5","48","***","3,112","127","2,985","2,850","2,782","14","54","***","781","0","781","775","770","3","2","***","64","0","64","64","64","0","0","***","175","29","146","146","86","49","11","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50790","","大分出張所","","36","0","36","36","36","0","0","***","2,455","58","2,397","2,362","2,331","2","29","***","1,534","42","1,492","1,440","1,372","7","61","***","1,046","0","1,046","1,045","1,043","0","2","***","35","0","35","35","35","0","0","***","135","19","116","119","68","48","3","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50800","","宮崎出張所","","16","0","16","16","16","0","0","***","1,320","46","1,274","1,275","1,241","0","34","***","732","19","713","662","606","6","50","***","299","0","299","299","296","3","0","***","17","0","17","17","17","0","0","***","47","8","39","35","25","9","1","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50810","","鹿児島出張所","","27","1","26","27","27","0","0","***","3,270","107","3,163","3,135","3,118","0","17","***","3,039","97","2,942","2,852","2,792","5","55","***","566","0","566","566","566","0","0","***","40","0","40","40","40","0","0","***","89","9","80","72","43","19","10","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50820","","那覇空港出張所","","0","0","0","0","0","0","0","***","9","0","9","9","9","0","0","***","0","0","0","0","0","0","0","***","2","0","2","2","2","0","0","***","2","0","2","2","2","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50830","","宮古島出張所","","2","0","2","2","2","0","0","***","173","2","171","170","163","0","7","***","69","0","69","67","63","0","4","***","17","0","17","17","17","0","0","***","1","0","1","1","1","0","0","***","4","0","4","2","2","0","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50840","","石垣港出張所","","2","0","2","2","2","0","0","***","199","6","193","189","188","0","1","***","47","4","43","46","46","0","0","***","6","0","6","6","6","0","0","***","6","0","6","6","6","0","0","***","8","1","7","6","1","5","0","***"
"160","","在留資格取得等処理人員【人】","2020000000","","2020年","50850","","嘉手納出張所","","145","5","140","139","135","2","2","***","2,052","105","1,947","1,996","1,971","4","21","***","422","22","400","403","386","1","16","***","251","1","250","251","250","0","1","***","72","0","72","72","72","0","0","***","159","44","115","119","82","25","12","***"
"160","","在留資格取得等処理人員【人】","2019000000","","2019年","50000","","総数","","15,581","287","15,294","15,275","14,469","2","804","***","813,353","38,657","774,696","761,091","743,254","3,136","14,701","***","316,291","29,846","286,445","290,496","269,153","6,272","15,071","***","324,750","1,051","323,699","323,741","322,710","369","662","***","38,269","5","38,264","38,264","38,232","29","3","***","89,712","32,429","57,283","56,902","32,213","22,243","2,446","***"
"160","","在留資格取得等処理人員【人】","2019000000","","2019年","50010","","札幌出入国在留管理局管内","","122","0","122","121","121","0","0","***","10,989","403","10,586","10,371","10,281","9","81","***","7,136","672","6,464","6,472","6,322","23","127","***","3,760","16","3,744","3,743","3,725","4","14","***","283","0","283","283","283","0","0","***","647","208","439","486","337","121","28","***"
"160","","在留資格取得等処理人員【人】","2019000000","","2019年","50020","","札幌出入国在留管理局","","94","0","94","93","93","0","0","***","8,761","300","8,461","8,325","8,255","5","65","***","6,101","585","5,516","5,514","5,388","22","104","***","2,166","15","2,151","2,149","2,134","4","11","***","226","0","226","226","226","0","0","***","553","187","366","419","281","112","26","***"
"160","","在留資格取得等処理人員【人】","2019000000","","2019年","50030","","函館港出張所","","1","0","1","1","1","0","0","***","276","11","265","242","238","2","2","***","78","1","77","75","75","0","0","***","89","0","89","89","88","0","1","***","10","0","10","10","10","0","0","***","14","5","9","10","8","2","0","***"
"160","","在留資格取得等処理人員【人】","2019000000","","2019年","50050","","釧路港出張所","","15","0","15","15","15","0","0","***","700","19","681","648","642","0","6","***","656","67","589","602","584","0","18","***","86","0","86","86","86","0","0","***","8","0","8","8","8","0","0","***","27","8","19","22","16","4","2","***"
