"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","地方入国管理局・支局・出張所 コード","地方入国管理局・支局・出張所 補助コード","地方入国管理局・支局・出張所","/在留資格審査の受理・処理","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50100","","仙台出入国在留管理局","","182","1","181","181","173","0","8","***","23,986","1,272","22,714","21,801","21,518","24","259","***","14,321","1,843","12,478","12,779","12,413","56","310","***","4,868","12","4,856","4,811","4,807","1","3","***","277","0","277","277","277","0","0","***","646","134","512","468","281","170","17","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50110","","青森出張所","","33","1","32","30","27","0","3","***","1,112","65","1,047","1,016","1,002","0","14","***","449","45","404","416","399","1","16","***","291","1","290","291","290","0","1","***","36","0","36","36","36","0","0","***","66","19","47","39","34","2","3","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50120","","盛岡出張所","","23","1","22","23","23","0","0","***","1,249","104","1,145","1,197","1,189","0","8","***","241","35","206","230","218","3","9","***","327","0","327","327","326","0","1","***","36","0","36","36","36","0","0","***","109","37","72","78","51","27","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50130","","仙台空港出張所","","0","0","0","0","0","0","0","***","2","0","2","2","2","0","0","***","1","0","1","1","1","0","0","***","329","0","329","329","329","0","0","***","10","0","10","10","10","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50140","","秋田出張所","","6","0","6","5","5","0","0","***","597","36","561","556","545","0","11","***","215","14","201","203","199","1","3","***","209","0","209","206","204","0","2","***","32","0","32","32","32","0","0","***","58","10","48","41","28","11","2","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50150","","酒田港出張所","","3","0","3","3","2","0","1","***","265","10","255","256","254","0","2","***","74","3","71","66","66","0","0","***","51","1","50","51","51","0","0","***","16","0","16","16","16","0","0","***","23","6","17","20","18","2","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50160","","郡山出張所","","64","1","63","63","59","0","4","***","3,664","240","3,424","3,385","3,303","0","82","***","1,355","179","1,176","1,233","1,179","6","48","***","684","0","684","683","682","0","1","***","120","0","120","120","120","0","0","***","189","54","135","120","74","35","11","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50170","","東京出入国在留管理局管内","","10,916","209","10,707","10,702","10,310","0","392","***","631,004","40,493","590,511","571,894","561,484","954","9,456","***","234,593","26,055","208,538","207,069","195,244","1,267","10,558","***","232,983","1,713","231,270","230,559","229,780","132","647","***","22,745","3","22,742","22,730","22,723","5","2","***","75,578","36,725","38,853","26,425","17,903","7,638","884","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50180","","東京出入国在留管理局","","3,947","160","3,787","3,779","3,696","0","83","***","396,720","30,324","366,396","350,296","342,802","767","6,727","***","176,703","20,753","155,950","154,359","145,253","908","8,198","***","87,618","1,483","86,135","85,480","84,850","115","515","***","11,575","3","11,572","11,564","11,557","5","2","***","47,690","24,760","22,930","13,231","9,477","3,289","465","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50190","","成田空港支局","","4","0","4","4","4","0","0","***","1,064","0","1,064","1,064","1,064","0","0","***","242","0","242","242","242","0","0","***","55,859","0","55,859","55,859","55,859","0","0","***","935","0","935","934","934","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50200","","羽田空港支局","","3","0","3","3","3","0","0","***","424","0","424","424","424","0","0","***","140","0","140","140","140","0","0","***","20,704","0","20,704","20,704","20,704","0","0","***","509","0","509","509","509","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50210","","横浜支局","","781","5","776","767","759","0","8","***","41,699","2,964","38,735","38,451","37,933","20","498","***","12,849","1,565","11,284","11,201","10,589","66","546","***","8,912","179","8,733","8,686","8,626","0","60","***","1,624","0","1,624","1,622","1,622","0","0","***","6,309","3,033","3,276","4,422","2,841","1,488","93","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50220","","水戸出張所","","341","9","332","337","302","0","35","***","14,349","884","13,465","13,426","13,239","10","177","***","4,809","613","4,196","4,347","4,162","18","167","***","2,776","6","2,770","2,772","2,761","0","11","***","513","0","513","513","513","0","0","***","1,389","708","681","459","246","187","26","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50230","","宇都宮出張所","","396","8","388","390","370","0","20","***","15,518","794","14,724","14,572","14,116","24","432","***","4,073","464","3,609","3,711","3,347","40","324","***","3,490","3","3,487","3,488","3,485","1","2","***","588","0","588","588","588","0","0","***","1,347","685","662","450","232","202","16","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50240","","高崎出張所","","720","7","713","720","663","0","57","***","22,749","1,167","21,582","21,104","20,823","9","272","***","5,911","653","5,258","5,432","5,294","18","120","***","4,240","0","4,240","4,240","4,237","0","3","***","972","0","972","972","972","0","0","***","2,087","1,013","1,074","671","333","304","34","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50250","","さいたま出張所","","1,377","0","1,377","1,377","1,377","0","0","***","33,785","0","33,785","33,904","33,385","60","459","***","6,015","0","6,015","6,025","5,690","87","248","***","11,939","0","11,939","11,934","11,927","3","4","***","1,538","0","1,538","1,538","1,538","0","0","***","2,804","0","2,804","1,770","1,207","509","54","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50260","","千葉出張所","","1,036","9","1,027","1,030","923","0","107","***","26,772","1,289","25,483","25,149","24,962","6","181","***","4,470","406","4,064","4,043","3,785","18","240","***","8,201","2","8,199","8,197","8,188","1","8","***","1,214","0","1,214","1,214","1,214","0","0","***","3,503","1,626","1,877","1,028","685","295","48","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50261","","松戸出張所","","761","4","757","748","673","0","75","***","19,313","700","18,613","17,626","17,360","13","253","***","5,021","381","4,640","4,383","4,109","41","233","***","8,171","8","8,163","8,162","8,153","1","8","***","469","0","469","469","469","0","0","***","2,260","885","1,375","613","396","173","44","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50270","","立川出張所","","515","3","512","514","514","0","0","***","20,934","813","20,121","19,860","19,684","16","160","***","5,068","369","4,699","4,508","4,271","39","198","***","11,306","17","11,289","11,281","11,258","9","14","***","802","0","802","802","802","0","0","***","2,547","1,185","1,362","725","457","226","42","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50280","","新潟出張所","","53","0","53","53","49","0","4","***","4,679","152","4,527","4,537","4,501","2","34","***","1,390","152","1,238","1,268","1,239","1","28","***","1,439","0","1,439","1,437","1,435","0","2","***","134","0","134","134","134","0","0","***","297","156","141","95","56","37","2","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50290","","甲府出張所","","105","0","105","105","105","0","0","***","5,232","163","5,069","5,065","5,004","9","52","***","1,679","140","1,539","1,602","1,522","13","67","***","1,186","2","1,184","1,186","1,182","0","4","***","249","0","249","249","249","0","0","***","699","370","329","232","123","105","4","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50300","","長野出張所","","153","0","153","153","150","0","3","***","8,742","290","8,452","8,385","8,318","7","60","***","2,904","289","2,615","2,740","2,648","5","87","***","1,200","2","1,198","1,198","1,196","1","1","***","316","0","316","315","315","0","0","***","1,034","543","491","315","149","153","13","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50310","","川崎出張所","","724","4","720","722","722","0","0","***","19,024","953","18,071","18,031","17,869","11","151","***","3,319","270","3,049","3,068","2,953","13","102","***","5,942","11","5,931","5,935","5,919","1","15","***","1,307","0","1,307","1,307","1,307","0","0","***","3,612","1,761","1,851","2,414","1,701","670","43","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50320","","名古屋出入国在留管理局管内","","4,641","43","4,598","4,597","4,135","0","462","***","226,328","13,878","212,450","213,125","211,179","302","1,644","***","81,435","10,780","70,655","73,133","70,714","538","1,881","***","38,813","171","38,642","38,752","38,711","4","37","***","7,497","0","7,497","7,496","7,496","0","0","***","20,192","5,826","14,366","16,100","10,239","5,418","443","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50330","","名古屋出入国在留管理局","","2,485","32","2,453","2,455","2,122","0","333","***","149,588","10,384","139,204","139,739","138,394","226","1,119","***","63,865","8,805","55,060","57,047","55,190","392","1,465","***","18,254","159","18,095","18,197","18,162","4","31","***","3,795","0","3,795","3,794","3,794","0","0","***","11,635","3,935","7,700","8,982","5,707","3,028","247","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50340","","中部空港支局","","0","0","0","0","0","0","0","***","141","0","141","141","141","0","0","***","11","0","11","11","11","0","0","***","8,351","0","8,351","8,351","8,351","0","0","***","214","0","214","214","214","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50350","","富山出張所","","121","2","119","121","121","0","0","***","7,241","211","7,030","7,024","6,905","18","101","***","2,144","211","1,933","1,926","1,837","33","56","***","737","1","736","737","737","0","0","***","192","0","192","192","192","0","0","***","545","90","455","498","287","193","18","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50360","","金沢出張所","","98","0","98","97","87","0","10","***","6,955","198","6,757","6,738","6,680","4","54","***","2,528","345","2,183","2,303","2,256","10","37","***","1,451","0","1,451","1,450","1,448","0","2","***","165","0","165","165","165","0","0","***","318","62","256","294","189","100","5","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50370","","福井出張所","","93","2","91","93","82","0","11","***","4,428","131","4,297","4,173","4,144","4","25","***","1,164","113","1,051","1,058","1,045","1","12","***","420","0","420","420","419","0","1","***","198","0","198","198","198","0","0","***","235","67","168","203","147","51","5","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50380","","岐阜出張所","","331","0","331","331","331","0","0","***","11,261","684","10,577","10,650","10,575","5","70","***","3,091","330","2,761","2,849","2,735","27","87","***","1,927","0","1,927","1,926","1,926","0","0","***","544","0","544","544","544","0","0","***","1,130","268","862","798","482","297","19","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50390","","静岡出張所","","340","0","340","340","340","0","0","***","15,112","813","14,299","14,342","14,238","4","100","***","3,347","444","2,903","3,058","2,927","26","105","***","4,169","9","4,160","4,167","4,165","0","2","***","480","0","480","480","480","0","0","***","1,457","393","1,064","1,125","783","333","9","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50400","","浜松出張所","","448","2","446","438","379","0","59","***","12,703","530","12,173","12,226","12,153","16","57","***","2,224","203","2,021","2,074","1,990","35","49","***","1,292","0","1,292","1,292","1,291","0","1","***","875","0","875","875","875","0","0","***","1,979","303","1,676","1,734","1,119","564","51","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50410","","豊橋港出張所","","371","5","366","368","319","0","49","***","9,709","372","9,337","9,256","9,194","8","54","***","1,353","159","1,194","1,233","1,193","6","34","***","910","2","908","910","910","0","0","***","483","0","483","483","483","0","0","***","1,890","227","1,663","1,571","924","591","56","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50420","","四日市港出張所","","354","0","354","354","354","0","0","***","9,190","555","8,635","8,836","8,755","17","64","***","1,708","170","1,538","1,574","1,530","8","36","***","1,302","0","1,302","1,302","1,302","0","0","***","551","0","551","551","551","0","0","***","1,003","481","522","895","601","261","33","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50430","","大阪出入国在留管理局管内","","3,314","82","3,232","3,206","2,849","0","357","***","171,294","7,659","163,635","161,923","160,714","101","1,108","***","65,075","7,676","57,399","58,524","56,704","400","1,420","***","83,538","232","83,306","83,191","83,050","6","135","***","8,609","0","8,609","8,608","8,608","0","0","***","12,673","4,137","8,536","7,468","4,843","2,345","280","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50440","","大阪出入国在留管理局","","2,051","68","1,983","1,960","1,709","0","251","***","114,226","5,348","108,878","108,070","107,214","73","783","***","48,436","5,944","42,492","43,712","42,384","295","1,033","***","31,399","222","31,177","31,086","30,958","5","123","***","3,570","0","3,570","3,569","3,569","0","0","***","8,154","2,732","5,422","4,810","3,125","1,506","179","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50450","","関西空港支局","","0","0","0","0","0","0","0","***","425","0","425","425","423","0","2","***","74","0","74","74","74","0","0","***","30,071","0","30,071","30,071","30,071","0","0","***","2,642","0","2,642","2,642","2,642","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50460","","神戸支局","","528","9","519","521","467","0","54","***","26,681","1,196","25,485","24,836","24,666","15","155","***","9,144","1,128","8,016","7,965","7,688","56","221","***","9,517","5","9,512","9,493","9,489","1","3","***","1,091","0","1,091","1,091","1,091","0","0","***","2,129","676","1,453","1,234","752","439","43","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50470","","大津出張所","","265","1","264","260","232","0","28","***","8,148","298","7,850","7,791","7,748","5","38","***","1,580","135","1,445","1,466","1,421","12","33","***","1,671","0","1,671","1,670","1,670","0","0","***","496","0","496","496","496","0","0","***","832","278","554","567","386","163","18","***"
